,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,country,metric
714,1.842235986,1.837843625,1.831873947,1.788996938,1.937160917,1.966244581,1.980869578,1.866619947,1.946810726,2.080624117,2.02169635,2.256115446,2.279046629,2.321618159,2.489165773,2.475168595,2.704249738,2.758364178,2.861106756,2.860869942,2.969272059,3.044491392,Dominica,emissions_per_capita
715,2.366646519,2.434929094,2.653185878,2.579049873,2.737834014,2.793054288,2.90612064,3.063998766,3.234309563,3.209853584,3.327508592,3.267313091,3.312089667,3.163234772,3.130177435,3.166179691,3.162380571,3.197819111,3.180211137,3.122509025,3.199511226,3.248998077,Dominican Republic,emissions_per_capita
716,3.020085574,3.061828481,3.091666379,3.069063116,3.270879873,3.407584373,3.530695906,3.470725554,3.342930101,3.01434353,3.151983087,3.202960486,3.260104608,3.320069904,3.399928273,3.425448802,3.472033057,3.505822577,3.294893823,3.365821565,3.369383047,3.399401169,Ecuador,emissions_per_capita
717,2.46646057,2.45879492,2.516353445,2.511637938,2.393428773,2.491007628,2.503961884,2.553035472,2.589726417,2.651801755,2.699348754,2.690985549,2.859719383,2.932841027,3.034964093,3.253037797,3.360511284,3.430850494,3.415419992,3.310757605,3.416043163,3.440696607,Egypt,emissions_per_capita
718,1.272963408,1.420406301,1.491965175,1.523905633,1.632628276,1.654048272,1.608813964,1.770217469,1.772410612,1.801682215,1.779958313,1.943799346,1.913897041,1.906696081,1.954214831,1.938430988,1.959017477,2.018897925,1.995215898,1.978215166,1.983810259,2.03025344,El Salvador,emissions_per_capita
719,0.644949417,1.681340908,2.615910889,3.5282218,4.335310124,4.443115535,4.628315682,6.121282409,7.102126992,7.368581349,7.625465402,9.613716018,7.738101976,8.010239752,9.161943877,9.068857599,8.816761853,8.902309244,8.403056455,8.259182524,8.369740923,8.31396114,Equatorial Guinea,emissions_per_capita
720,1.062488982,1.055056786,1.167027925,1.097425774,1.144759776,1.185589782,1.307161405,1.39330138,1.399566676,1.44020654,1.409063249,1.292886387,1.176326582,1.14084759,1.115077228,1.06800311,1.041580949,1.104977919,1.100901117,1.034296826,1.033077358,1.025745991,Eritrea,emissions_per_capita
721,35.55202763,33.00260031,26.91267759,23.34135583,23.42228074,22.22788407,23.03222753,22.94634625,13.9574716,13.10931292,12.71939799,12.9241189,16.64215725,14.18943138,14.69628815,14.8021501,14.57398312,17.53118283,16.35784599,14.09921143,17.0991764,18.36532305,Estonia,emissions_per_capita
722,1.400429675,1.27872667,1.335633708,1.222148415,1.189906322,1.209040145,1.210461607,1.212127141,3.044443598,3.374027123,2.763511605,2.115093201,2.653025131,2.370926848,2.352110475,2.610811609,2.224969939,2.336532967,2.109617922,2.133975438,2.087339099,2.048169897,Ethiopia,emissions_per_capita
723,1.06982707,1.089615425,1.119069889,1.155944551,1.185039686,1.204759881,1.210574805,1.206921785,0.962549218,0.953471059,0.945193048,0.93304769,0.929502381,0.926930645,0.926857992,0.92703699,0.928916854,0.933209655,0.939538362,0.946842288,0.957649656,0.969790591,Faroe Islands,emissions_per_capita
724,3.196241693,2.95426143,2.687751802,2.781807333,2.721908378,2.813929243,2.833590319,2.796466585,2.902252241,2.592453881,1.941124204,2.013423482,2.215298685,2.365449667,2.212340244,2.234150909,2.351939351,2.513026264,2.518913409,2.742341941,2.516329152,2.551797504,Fiji,emissions_per_capita
